SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1940 Vallejo St #4,San Francisco,CA,94123,4995000,3,3.5,Pacific Heights,,,1927,1,,1691,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1940-Vallejo-St-94123/unit-4/home/12400240,San Francisco MLS,463694,N,Y,37.7962749,-122.4294055
MLS Listing,,Condo/Co-op,1731 Larkin St #3,San Francisco,CA,94109,1295000,2,2.0,Nob Hill,1085,,1908,1,1194,425,Active,October-14-2017 02:00 PM,October-14-2017 05:00 PM,http://www.redfin.com/CA/San-Francisco/1731-Larkin-St-94109/unit-3/home/1811360,San Francisco MLS,463782,N,Y,37.793838,-122.420011
MLS Listing,,Single Family Residential,437 Campbell Ave,San Francisco,CA,94134,860000,3,2.0,Visitacion Valley,1615,2500,1931,1,533,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/437-Campbell-Ave-94134/home/783150,San Francisco MLS,462433,N,Y,37.714517,-122.404721
MLS Listing,,Condo/Co-op,200 Brannan St #408,San Francisco,CA,94107,1549000,2,2.0,South Beach,1520,,2004,1,1019,717,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-408/home/1160817,San Francisco MLS,463807,N,Y,37.7835714,-122.3907008
MLS Listing,,Condo/Co-op,3620 19th St #26,San Francisco,CA,94110,1549000,3,2.0,Mission Dolores,1335,,2008,1,1160,601,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/3620-19th-St-94110/unit-26/home/17359520,San Francisco MLS,463827,N,Y,37.7601547,-122.4243138
MLS Listing,,Single Family Residential,45 Allston Way,San Francisco,CA,94127,1595000,3,2.0,West Portal,1859,3092,1923,1,858,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/45-Allston-Way-94127/home/1509711,San Francisco MLS,461523,N,Y,37.7414587,-122.4626589
MLS Listing,,Single Family Residential,3221 Noriega St,San Francisco,CA,94122,948000,3,1.0,Outer Sunset,1300,2321,1949,1,729,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/3221-Noriega-St-94122/home/648790,San Francisco MLS,463761,N,Y,37.7530612,-122.4983337
MLS Listing,,Single Family Residential,4229 Moraga St,San Francisco,CA,94122,1585000,4,2.5,Outer Sunset,2290,1873,1948,1,692,,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/4229-Moraga-St-94122/home/1992630,San Francisco MLS,463137,N,Y,37.754517,-122.508218
MLS Listing,,Condo/Co-op,469 South Van Ness Ave,San Francisco,CA,94103,1649000,3,3.0,Inner Mission,1993,,,1,827,445,Active,October-14-2017 01:00 PM,October-14-2017 03:00 PM,http://www.redfin.com/CA/San-Francisco/469-S-Van-Ness-Ave-94103/home/17145771,San Francisco MLS,463769,N,Y,37.76574,-122.417265
MLS Listing,,Single Family Residential,1906 11th Ave,San Francisco,CA,94116,879000,2,1.0,Golden Gate Heights,,,1952,1,,,Active,October-13-2017 03:00 PM,October-13-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1906-11th-Ave-94116/home/1548516,San Francisco MLS,463665,N,Y,37.7525699,-122.467488
MLS Listing,,Multi-Family (2-4 Unit),132-136 Presidio Ave,San Francisco,CA,94115,8975000,9,7.0,Pacific Heights,8162,3267,,1,1100,,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/136-Presidio-Ave-94115/home/113911752,San Francisco MLS,463793,N,Y,37.7903316,-122.4472686
MLS Listing,,Condo/Co-op,1345 Francisco St,San Francisco,CA,94123,1695000,2,1.5,Marina,1502,,1924,1,1128,450,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1345-Francisco-St-94123/home/2022756,San Francisco MLS,463838,N,Y,37.802628,-122.427268
